,Season,Wteam,Lteam,win_seed,loss_seed,seed_diff,diff_WinLossPct,diff_AvgPts,diff_PtDiff,diff_AvgRebounds,diff_AvgAssists,diff_AvgTurnovers,diff_AvgFouls,diff_FGPct,diff_FTPct,diff_ThPct,diff_AvgStealsPlusBlocks,diff_AvgPtsAgainst,diff_OppFGPct,diff_OppThPct,Result
0,2003,1421,1411,16,16,0,-0.14999999999999997,-1,-269,-2,-1,1,1,-0.020000000000000018,0.14,0.03999999999999998,2,8,0.040000000000000036,0.03999999999999998,1
1,2003,1112,1436,1,16,-15,0.22999999999999998,18,284,4,3,0,2,0.020000000000000018,0.039999999999999925,0.009999999999999953,3,7,0.0,-0.010000000000000009,1
2,2003,1112,1211,1,9,-8,0.15000000000000002,8,144,6,2,0,-1,-0.009999999999999953,-0.020000000000000018,-0.030000000000000027,2,2,-0.010000000000000009,-0.04999999999999999,1
3,2003,1112,1323,1,5,-4,0.18000000000000005,5,143,4,1,2,1,0.010000000000000009,-0.06000000000000005,-0.030000000000000027,-1,-1,0.0,-0.04999999999999999,1
4,2003,1113,1272,10,7,3,-0.17000000000000004,1,-55,-2,-1,1,1,0.03999999999999998,0.020000000000000018,-0.02999999999999997,-3,4,0.04999999999999999,0.020000000000000018,1
5,2003,1141,1166,11,6,5,-0.08999999999999997,0,-315,0,-1,5,3,0.010000000000000009,0.08000000000000007,-0.010000000000000009,-1,9,0.020000000000000018,0.019999999999999962,1
6,2003,1143,1301,8,9,-1,0.12,2,5,4,2,0,-1,0.009999999999999953,-0.08000000000000007,0.030000000000000027,-1,1,-0.010000000000000009,-0.010000000000000009,1
7,2003,1163,1140,5,12,-7,-0.040000000000000036,8,-13,7,2,2,-3,0.0,-0.07999999999999996,0.010000000000000009,4,8,-0.02999999999999997,0.010000000000000009,1
8,2003,1163,1390,5,4,1,-0.040000000000000036,8,95,4,1,1,0,0.02999999999999997,-0.010000000000000009,0.030000000000000027,5,5,-0.02999999999999997,0.020000000000000018,1
9,2003,1181,1161,3,14,-11,0.2300000000000001,7,307,5,-2,-2,1,-0.06,0.010000000000000009,0.0,4,-2,-0.010000000000000009,0.0,1
10,2003,1181,1141,3,11,-8,0.010000000000000009,2,170,4,-2,-4,1,-0.06,-0.06000000000000005,-0.020000000000000018,2,-3,-0.010000000000000009,-0.019999999999999962,1
11,2003,1211,1153,9,8,1,0.13,10,112,0,3,4,0,0.06999999999999995,0.030000000000000027,0.03999999999999998,1,7,0.019999999999999962,0.020000000000000018,1
12,2003,1228,1443,4,13,-9,0.06000000000000005,2,214,-1,4,-2,1,0.02999999999999997,0.05999999999999994,0.0,0,-5,-0.04999999999999999,0.0,1
13,2003,1242,1429,2,15,-13,0.040000000000000036,16,273,7,3,2,0,0.02999999999999997,-0.04999999999999993,0.010000000000000009,8,6,-0.020000000000000018,0.019999999999999962,1
14,2003,1242,1113,2,10,-8,0.15000000000000002,6,252,3,1,0,-3,0.010000000000000009,0.0,0.020000000000000018,6,-3,-0.040000000000000036,0.019999999999999962,1
15,2003,1242,1181,2,3,-1,-0.030000000000000027,0,102,3,3,0,-5,0.03999999999999998,-0.039999999999999925,-0.019999999999999962,2,-4,-0.030000000000000027,0.019999999999999962,1
16,2003,1242,1112,2,1,1,-0.12,-4,30,-2,-1,0,-1,0.02999999999999997,-0.029999999999999916,-0.009999999999999953,3,-4,0.0,0.03999999999999998,1
17,2003,1242,1266,2,3,-1,-0.04999999999999993,3,149,4,0,1,-2,0.010000000000000009,-0.09999999999999998,-0.03999999999999998,6,-1,0.0,0.02999999999999997,1
18,2003,1266,1221,3,14,-11,-0.040000000000000036,9,-23,0,1,0,0,0.019999999999999962,0.06000000000000005,0.020000000000000018,-3,9,0.0,0.0,1
19,2003,1266,1281,3,6,-3,0.1399999999999999,7,136,-3,3,0,2,0.03999999999999998,0.10999999999999999,0.020000000000000018,-1,1,0.009999999999999953,0.010000000000000009,1
20,2003,1266,1338,3,2,1,-0.050000000000000044,4,-173,0,-1,-2,1,-0.020000000000000018,0.13,0.020000000000000018,-3,9,0.02999999999999997,0.030000000000000027,1
21,2003,1266,1246,3,1,2,-0.09000000000000008,1,-130,0,0,-1,1,-0.010000000000000009,0.06000000000000005,0.020000000000000018,-3,3,0.0,0.0,1
22,2003,1281,1356,6,11,-5,-0.12,-3,-29,6,0,1,-3,-0.02999999999999997,-0.04999999999999993,-0.030000000000000027,-1,-2,-0.03999999999999998,-0.08999999999999997,1
23,2003,1323,1454,5,12,-7,-0.06000000000000005,3,61,4,-1,-2,-4,-0.019999999999999962,0.07000000000000006,0.020000000000000018,1,2,-0.030000000000000027,0.010000000000000009,1
24,2003,1323,1228,5,4,1,-0.09000000000000008,5,-145,4,-2,-1,-3,-0.03999999999999998,0.040000000000000036,0.010000000000000009,3,10,0.02999999999999997,0.07,1
25,2003,1328,1354,1,16,-15,0.13,-1,284,-1,4,-8,-2,-0.010000000000000009,0.010000000000000009,0.06,0,-11,-0.009999999999999953,-0.010000000000000009,1
26,2003,1328,1143,1,8,-7,0.08000000000000007,-3,193,0,-2,-3,1,-0.019999999999999962,0.020000000000000018,0.010000000000000009,1,-9,-0.02999999999999997,0.0,1
27,2003,1328,1139,1,12,-11,-0.029999999999999916,3,108,8,2,1,2,-0.02999999999999997,-0.010000000000000009,0.0,2,0,-0.04999999999999999,-0.019999999999999962,1
28,2003,1390,1360,4,13,-9,0.13,-2,77,1,-2,-4,-2,-0.02999999999999997,0.020000000000000018,-0.020000000000000018,0,-5,-0.020000000000000018,-0.06,1
